,company,year_of_experience,description,skills,link
0,"NextDoor Global Services
     (More Jobs)",3 - 7 yrs,"Requirements: -     Proven working experience in full lifecycle game development     Hands on experience primarily with c ++ or other programming languages  ( Java ,  C ,  etc... More Details","game development  ,   programming languages   (  Java  ,   C  ,   etc  )    ,  Rendering  ,   3D animation  ,   physics  ,    ,  Mobile and console game development  ,   techniques  ,   best practices",https://www.timesjobs.com/job-detail/senior-game-developer-rhedfuel-studio-delhi-3-to-7-yrs-jobid-G1eOwHc8ojpzpSvf__PLUS__uAgZw==&source=srp
1,SEVEN CONSULTANCY,2 - 5 yrs,"JOB DETAILSDesign ,  architect ,  test and implement game features and framework ranging from tools ,  gameplay and AITake an active part in product creationMaintain and optim... More Details","Design  ,   architect  ,   test  ,  Generate game scripts",https://www.timesjobs.com/job-detail/game-developer-seven-consultancy-delhi-delhi-ncr-2-to-5-yrs-jobid-sX1GFNwLc9hzpSvf__PLUS__uAgZw==&source=srp
2,APPLYCUP HIRING SOLUTIONS LLP,0 - 3 yrs,"Game DeveloperMohali ,  PunjQualification : BCA ,  B.Tech , B.Sc Experience : 0 - 3 YearsSkills : programming ,  game developmentJob Description :We are looking for B.Tech / B... More Details","c    ,  database  ,  java  ,  oops  ,  php  ,  problem solving",https://www.timesjobs.com/job-detail/game-developer-applycup-hiring-solutions-llp-mohali-0-to-3-yrs-jobid-H8Y1q0aVl35zpSvf__PLUS__uAgZw==&source=srp
3,APPLYCUP HIRING SOLUTIONS LLP,4 - 7 yrs,"Game DeveloperGurgaon ,  Delhi Qualification : Any Graduate Experience : 4 - 8 YearsSkills : AR ,  VR ,  Multiplayer ,  3DJob Description :1 ) . Minimum 4 year... More Details","mobile  ,  svn  ,  team player  ,  javascript  ,  jquery  ,  git  ,  written communication  ,  games  ,  angularjs",https://www.timesjobs.com/job-detail/game-developer-applycup-hiring-solutions-llp-gurgaon-delhi-delhi-ncr-4-to-7-yrs-jobid-LbQstiL7D3tzpSvf__PLUS__uAgZw==&source=srp
4,ASPIRATION,2 - 8 yrs,"Game Developer For A Leading OTT Platform Company A Leading OTT PlatformExperience 2 - 8 YearsLocation Bangalore ,  Delhi ,  MumbaiSalary Upto 20 LacPosition TitleGame Develop... More Details","algorithms  ,  webworks  ,  games  ,  data structures",https://www.timesjobs.com/job-detail/game-developer-aspiration-mumbai-delhi-delhi-ncr-bengaluru-bangalore-2-to-8-yrs-jobid-q5F__PLUS__HxNFkvZzpSvf__PLUS__uAgZw==&source=srp
5,TEAMPLUS STAFFING SOLUTION PVT. LTD.,0 - 3 yrs,"Key Skills : game developer ,  wireframe ,  html ,  IOS ,  photon ,  game sparkJob Role  &  Responsibilities:Created cross-platform  ( Android /  Chrome etc. )  web applicatio... More Details","rest  ,  html5  ,  games  ,  html",https://www.timesjobs.com/job-detail/game-developer-teamplus-staffing-solution-pvt-ltd-noida-greater-noida-0-to-3-yrs-jobid-cjAw0hYM__SLASH__qxzpSvf__PLUS__uAgZw==&source=srp
6,Red Apple Technologies Pvt. Ltd.,0 - 3 yrs,"Excellent knowledge of C   programming language ,  Data structures and Algorithms ,  programming methodologies ,  etc.programming Knowledge in the relevant languages  ( Java ,... More Details","c#  ,  algorithms  ,  c    ,  c  ,  c   programming  ,  symbian  ,  javascript  ,  j2me  ,  java  ,  games  ,  debugging  ,  data structures",https://www.timesjobs.com/job-detail/game-developer-red-apple-technologies-pvt-ltd-delhi-delhi-ncr-kolkata-0-to-3-yrs-jobid-JyOHGi9GY4NzpSvf__PLUS__uAgZw==&source=srp
7,SEVEN CONSULTANCY,2 - 5 yrs,"JOB DETAILSDesign ,  architect ,  test and implement game features and framework ranging from tools ,  gameplay and AITake an active part in product creationMaintain and optim... More Details","product creation  ,  Deliver high quality  ,  Animate characters",https://www.timesjobs.com/job-detail/game-developer-executive-seven-consultancy-delhi-delhi-ncr-2-to-5-yrs-jobid-SHB2eMZp5fpzpSvf__PLUS__uAgZw==&source=srp
8,APPLYCUP HIRING SOLUTIONS LLP,2 - 5 yrs,"Unity Game DeveloperGurgaon ,  DelhiDate Posted : 25 / 05 / 2020 Qualification : BE  , Btech  , BSC Computer / IT , MSC  , MCA , any graduate ,  Experience : 2 - 5 YearsSkills... More Details","Scripting  ,   Textures  ,   Animation  ,   GUI Styles",https://www.timesjobs.com/job-detail/unity-game-developer-applycup-hiring-solutions-llp-gurgaon-delhi-delhi-ncr-2-to-5-yrs-jobid-l__PLUS__p6__PLUS__vgIynZzpSvf__PLUS__uAgZw==&source=srp
9,Fine Jobs Consultant Pvt. Ltd.,5 - 8 yrs,Job DescriptionWe are searching for Game Developers for our company who will operate remotely. Required skills: Ideal candidate must have experience of minimum 1.5 years Shoul... More Details,"software development  ,  unity3d  ,  game development  ,  coding  ,  saas  ,  sockets",https://www.timesjobs.com/job-detail/unity-game-developer-fine-jobs-consultant-pvt-ltd-indore-5-to-8-yrs-jobid-ksCS0JI2nvNzpSvf__PLUS__uAgZw==&source=srp
10,JobsLo Consultants,1 - 3 yrs,Job Description : 1 to 2 years experience in developing Android apps /  games Solid knowledge of Core Java and OOPS fundamentals Good knowledge of SQL A fighter with a strong ... More Details,"fundamentals  ,  java  ,  oops  ,  games  ,  sql",https://www.timesjobs.com/job-detail/android-game-developer-jobslo-consultants-noida-greater-noida-1-to-3-yrs-jobid-0__SLASH__c0MTiO0E9zpSvf__PLUS__uAgZw==&source=srp
11,JobsLo Consultants,1 - 3 yrs,"Job Responsibilities : Consistently develop 3d game features of high-level quality ,  on several platforms ,  by gathering requirements ,  designing solutions ,  implementing ... More Details","c#  ,  c    ,  windows  ,  visual studio  ,  java  ,  games  ,  debugging",https://www.timesjobs.com/job-detail/unity-game-developer-jobslo-consultants-noida-greater-noida-1-to-3-yrs-jobid-__PLUS__B06tI1GQEFzpSvf__PLUS__uAgZw==&source=srp
12,Miracle Studios,1 - 5 yrs,"Is this role right for me? To do this role ,  you will need to:be a team player and a leaderbe a very good Unity Developerbe approachable and listen to what people need and wa... More Details","turnaround  ,  vmc  ,  scheduling  ,  action  ,  documentation  ,  ideas  ,  maintenance",https://www.timesjobs.com/job-detail/unity-game-developer-miracle-studios-chandigarh-1-to-5-yrs-jobid-fCNS23xdWZFzpSvf__PLUS__uAgZw==&source=srp
13,FresherMart,2 - 5 yrs,"Responsibilities:Design and develop tank mechanics and relevant upgrades.program and execute UI ,  menus ,  and functionalities.Monitor and integrate game system Plugin.design... More Details","integrate game system  ,   develop 3D games  ,   execute UI",https://www.timesjobs.com/job-detail/unity-game-developer-freshermart-jaipur-2-to-5-yrs-jobid-We4aMAKFWYBzpSvf__PLUS__uAgZw==&source=srp
14,The NineHertz,1 - 4 yrs,"Requirement: Experience: 1-4 YrNumber Of Position: 2Location: Jaipur Excellent knowledge of Unity ,  including experience with scripting ,  textures ,  animati... More Details","mobile  ,  game development  ,  scripting",https://www.timesjobs.com/job-detail/unity-game-developer-the-ninehertz-jaipur-1-to-4-yrs-jobid-jUPGdqgT2QRzpSvf__PLUS__uAgZw==&source=srp
15,StartxLabs,2 - 5 yrs,Game Developer  ( Unity / 3D )  Looking for passionate and reliable applicants to join our team! Candidate should have minimum 2-year exp in Unity game development.educational... More Details,"c#  ,  c    ,  opengl  ,  visual studio  ,  debugging  ,  directx",https://www.timesjobs.com/job-detail/game-developer-unity-3d-startxlabs-delhi-delhi-ncr-2-to-5-yrs-jobid-__PLUS__1aXV3UDDpVzpSvf__PLUS__uAgZw==&source=srp
16,APPLYCUP HIRING SOLUTIONS LLP,2 - 5 yrs,"Game Developer-Cocos2djsNoida ,  Uttar Pradesh Qualification : BCA ,  B.Tech , B.Sc Experience : 2 - 5 YearsSkills : it ,  computers ,  programmingJob Description :* Consisten... More Details","oops  ,  games  ,  debugging  ,  windows",https://www.timesjobs.com/job-detail/game-developer-cocos2djs-applycup-hiring-solutions-llp-noida-greater-noida-2-to-5-yrs-jobid-NRONcjCaIzVzpSvf__PLUS__uAgZw==&source=srp
17,APPLYCUP HIRING SOLUTIONS LLP,0 - 3 yrs,"Unity Game Developer - Animation / c#Jaipur ,  Rajasthan Qualification : BCA ,  B.Tech , B.Sc Experience : 0 - 3 YearsSkills : programming ,  game development ,  BCA ,  BscJob... More Details","testing  ,  mobile  ,  writing  ,  gui",https://www.timesjobs.com/job-detail/unity-game-developer-animation-c-applycup-hiring-solutions-llp-jaipur-0-to-3-yrs-jobid-xCXwFJzUkuhzpSvf__PLUS__uAgZw==&source=srp
18,Smashing Geeks,0 - 4 yrs,"Unity 3D Game Developer Responsibilities:With strong Unity 3D programming skills ,  you will work closely with other engineers to implement core gameplay features in a hybrid ... More Details","c    ,  c  ,  mobile  ,  problem solving  ,  graphics  ,  opengl  ,  javascript  ,  java",https://www.timesjobs.com/job-detail/unity-3d-game-developer-smashing-geeks-delhi-delhi-ncr-0-to-4-yrs-jobid-b27n1EOIGBxzpSvf__PLUS__uAgZw==&source=srp
19,Linkites Infotech Pvt Ltd,0 - 3 yrs,"SKILLSExcellent knowledge of Unity ,  including experience with scripting ,  textures ,  animation ,  GUI styles ,  and user session management.Familiarity with level design a... More Details","testing  ,  mobile  ,  writing  ,  gui",https://www.timesjobs.com/job-detail/unity-2d-3d-game-developer-linkites-infotech-pvt-ltd-indore-0-to-3-yrs-jobid-SoCfrYs05wVzpSvf__PLUS__uAgZw==&source=srp
20,APPLYCUP HIRING SOLUTIONS LLP,1 - 6 yrs,"Game Developer - Unity 3D  ,  JavaScript  ,  HTML C  Jaipur ,  Rajasthan Qualification : BCA ,  B.Tech , B.Sc Experience : 1 - 6 YearsSkills : programming ,  BCA ,  BSC ,  ITJ... More Details","c#  ,  c    ,  wordpress  ,  augmented reality  ,  javascript  ,  android development  ,  java  ,  linux  ,  html  ,  data structures",https://www.timesjobs.com/job-detail/game-developer-unity-3d-javascript-html-c-applycup-hiring-solutions-llp-jaipur-1-to-6-yrs-jobid-M90O38Z3qsNzpSvf__PLUS__uAgZw==&source=srp
21,APPLYCUP HIRING SOLUTIONS LLP,1 - 6 yrs,"Game Developer - Unity 3D  ,  JavaScript  ,  HTML C  Delhi ,  Delhi Qualification : BCA ,  B.Tech , B.Sc Experience : 1 - 6 YearsSkills : programming ,  javascript ,  BCA ,  I... More Details","c#  ,  c    ,  wordpress  ,  augmented reality  ,  javascript  ,  android development  ,  java  ,  linux  ,  html  ,  data structures",https://www.timesjobs.com/job-detail/game-developer-unity-3d-javascript-html-c-applycup-hiring-solutions-llp-delhi-delhi-ncr-1-to-6-yrs-jobid-sEaoIw1tBFNzpSvf__PLUS__uAgZw==&source=srp
